country,state,total_district,total_ads,total_spend
US,AK,1,3947,2255900
US,AL,7,4786,6926000
US,AR,4,4638,3485800
US,AZ,9,4993,41728600
US,CA,53,5332,93639700
US,CO,7,4989,17811700
US,CT,5,4333,4654800
US,DC,1,4415,4646400
US,DE,1,4167,1487500
US,FL,27,5235,76862200
US,GA,14,5069,61168100
US,HI,2,4324,1427300
US,IA,4,4694,24410900
US,ID,2,4538,2035800
US,IL,18,5134,28548600
US,IN,9,4940,9464200
US,KS,4,4681,6017300
US,KY,6,4738,11440400
US,LA,6,4700,4550700
US,MA,9,4505,12311800
US,MD,8,4809,8727200
US,ME,2,4092,8907200
US,MI,14,5025,38888100
US,MN,8,4876,17360800
US,MO,8,4870,12599800
US,MS,4,4566,3940700
US,MT,1,4387,8570900
US,NC,13,5062,46175700
US,ND,1,4301,1389700
US,NE,3,4584,3306400
US,NH,2,4361,8150100
US,NJ,12,4663,18395100
US,NM,3,4683,3723600
US,NV,4,4821,14625600
US,NY,27,5010,31422800
US,OH,16,5057,21075200
US,OK,5,4696,4929800
US,OR,5,4768,8070800
US,PA,18,5150,50620300
US,RI,2,4075,1266800
US,SC,7,4892,15666800
US,SD,1,4357,797800
US,TN,9,4989,13193700
US,TX,36,5221,46293900
US,UT,4,4726,4883800
US,VA,11,5118,27067800
US,VT,1,4339,1022600
US,WA,10,4735,12320700
US,WI,8,4889,24636600
US,WV,3,4625,3290200
US,WY,1,4396,737700
