,country,state,total_district,total_ads,total_spend,latitude,longitude,name
0,US,AK,1,3947,2255900,63.588753,-154.493062,Alaska
1,US,AL,7,4786,6926000,32.318231,-86.902298,Alabama
2,US,AR,4,4638,3485800,35.20105,-91.831833,Arkansas
3,US,AZ,9,4993,41728600,34.048928,-111.093731,Arizona
4,US,CA,53,5332,93639700,36.778261,-119.417932,California
5,US,CO,7,4989,17811700,39.550051,-105.782067,Colorado
6,US,CT,5,4333,4654800,41.603221,-73.087749,Connecticut
7,US,DC,1,4415,4646400,38.905985,-77.033418,District of Columbia
8,US,DE,1,4167,1487500,38.910832,-75.52767,Delaware
9,US,FL,27,5235,76862200,27.664827,-81.515754,Florida
10,US,GA,14,5069,61168100,32.157435,-82.907123,Georgia
11,US,HI,2,4324,1427300,19.898682,-155.665857,Hawaii
12,US,IA,4,4694,24410900,41.878003,-93.097702,Iowa
13,US,ID,2,4538,2035800,44.068202,-114.742041,Idaho
14,US,IL,18,5134,28548600,40.633125,-89.398528,Illinois
15,US,IN,9,4940,9464200,40.551217,-85.602364,Indiana
16,US,KS,4,4681,6017300,39.011902,-98.484246,Kansas
17,US,KY,6,4738,11440400,37.839333,-84.270018,Kentucky
18,US,LA,6,4700,4550700,31.244823,-92.145024,Louisiana
19,US,MA,9,4505,12311800,42.407211,-71.382437,Massachusetts
20,US,MD,8,4809,8727200,39.045755,-76.641271,Maryland
21,US,ME,2,4092,8907200,45.253783,-69.445469,Maine
22,US,MI,14,5025,38888100,44.314844,-85.602364,Michigan
23,US,MN,8,4876,17360800,46.729553,-94.6859,Minnesota
24,US,MO,8,4870,12599800,37.964253,-91.831833,Missouri
25,US,MS,4,4566,3940700,32.354668,-89.398528,Mississippi
26,US,MT,1,4387,8570900,46.879682,-110.362566,Montana
27,US,NC,13,5062,46175700,35.759573,-79.0193,North Carolina
28,US,ND,1,4301,1389700,47.551493,-101.002012,North Dakota
29,US,NE,3,4584,3306400,41.492537,-99.901813,Nebraska
30,US,NH,2,4361,8150100,43.193852,-71.572395,New Hampshire
31,US,NJ,12,4663,18395100,40.058324,-74.405661,New Jersey
32,US,NM,3,4683,3723600,34.97273,-105.032363,New Mexico
33,US,NV,4,4821,14625600,38.80261,-116.419389,Nevada
34,US,NY,27,5010,31422800,43.299428,-74.217933,New York
35,US,OH,16,5057,21075200,40.417287,-82.907123,Ohio
36,US,OK,5,4696,4929800,35.007752,-97.092877,Oklahoma
37,US,OR,5,4768,8070800,43.804133,-120.554201,Oregon
38,US,PA,18,5150,50620300,41.203322,-77.194525,Pennsylvania
39,US,RI,2,4075,1266800,41.580095,-71.477429,Rhode Island
40,US,SC,7,4892,15666800,33.836081,-81.163725,South Carolina
41,US,SD,1,4357,797800,43.969515,-99.901813,South Dakota
42,US,TN,9,4989,13193700,35.517491,-86.580447,Tennessee
43,US,TX,36,5221,46293900,31.968599,-99.901813,Texas
44,US,UT,4,4726,4883800,39.32098,-111.093731,Utah
45,US,VA,11,5118,27067800,37.431573,-78.656894,Virginia
46,US,VT,1,4339,1022600,44.558803,-72.577841,Vermont
47,US,WA,10,4735,12320700,47.751074,-120.740139,Washington
48,US,WI,8,4889,24636600,43.78444,-88.787868,Wisconsin
49,US,WV,3,4625,3290200,38.597626,-80.454903,West Virginia
50,US,WY,1,4396,737700,43.075968,-107.290284,Wyoming
